Batter,Venue,total_runs,balls_faced,strike_rate
BA Stokes,Arun Jaitley Stadium,1,2,50.0
BA Stokes,Dubai International Cricket Stadium,109,103,105.8252427184466
BA Stokes,Eden Gardens,36,38,94.73684210526315
BA Stokes,Feroz Shah Kotla,33,25,132.0
BA Stokes,Holkar Cricket Stadium,62,41,151.21951219512195
BA Stokes,M Chinnaswamy Stadium,2,3,66.66666666666666
BA Stokes,M.Chinnaswamy Stadium,27,21,128.57142857142858
BA Stokes,MA Chidambaram Stadium,54,34,158.8235294117647
BA Stokes,Maharashtra Cricket Association Stadium,181,128,141.40625
BA Stokes,Narendra Modi Stadium,7,6,116.66666666666667
BA Stokes,Rajiv Gandhi International Stadium,60,42,142.85714285714286
BA Stokes,Saurashtra Cricket Association Stadium,25,18,138.88888888888889
BA Stokes,Sawai Mansingh Stadium,145,122,118.85245901639345
BA Stokes,Sheikh Zayed Stadium,176,97,181.44329896907217
BA Stokes,Wankhede Stadium,17,15,113.33333333333333
BAW Mendis,M Chinnaswamy Stadium,1,1,100.0
BAW Mendis,St George's Park,0,1,0.0
BAW Mendis,Subrata Roy Sahara Stadium,2,4,50.0
BB McCullum,Barabati Stadium,43,38,113.1578947368421
BB McCullum,Brabourne Stadium,14,11,127.27272727272727
BB McCullum,Buffalo Park,5,7,71.42857142857143
BB McCullum,Dr DY Patil Sports Academy,0,1,0.0
BB McCullum,Dubai International Cricket Stadium,77,63,122.22222222222223
BB McCullum,Eden Gardens,394,315,125.07936507936508
BB McCullum,Feroz Shah Kotla,218,165,132.12121212121212
BB McCullum,Green Park,54,30,180.0
BB McCullum,Holkar Cricket Stadium,61,37,164.86486486486487
BB McCullum,JSCA International Stadium Complex,81,56,144.64285714285714
BB McCullum,Kingsmead,65,50,130.0
BB McCullum,M Chinnaswamy Stadium,244,154,158.44155844155844
BB McCullum,M.Chinnaswamy Stadium,79,57,138.5964912280702
BB McCullum,MA Chidambaram Stadium,378,267,141.57303370786516
